restaurant,category,item,calories,protein,carbs,fat
Chick-fil-A,breakfast,Chick-fil-A® Chicken Biscuit (153g),460.0,19.0,45.0,23.0
Chick-fil-A,breakfast,Spicy Chicken Biscuit (153g),450.0,19.0,44.0,22.0
Chick-fil-A,breakfast,Chick-fil-A Chick-n-Minis® (127g),360.0,20.0,41.0,13.0
Chick-fil-A,breakfast,4 ct Chick-fil-A Chick-n-Minis® (127g),360.0,20.0,41.0,13.0
Chick-fil-A,breakfast,10 ct Chick-fil-A Chick-n-Minis® (318g),910.0,49.0,103.0,34.0
Chick-fil-A,breakfast,Egg White Grill (172g),300.0,27.0,29.0,8.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito (304g),700.0,34.0,51.0,40.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Nuggets (304g),700.0,34.0,51.0,40.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Sausage (283g),720.0,28.0,46.0,47.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Grilled Filet (304g),650.0,36.0,46.0,36.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Spicy Chicken (266g),660.0,28.0,54.0,37.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Bacon (271g),680.0,30.0,46.0,42.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ No Meat (251g),580.0,22.0,47.0,34.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Nuggets - no hash browns (261g),550.0,33.0,38.0,30.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Sausage - no hash browns (240g),570.0,26.0,34.0,37.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown (261g),500.0,35.0,34.0,26.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns (234g),530.0,31.0,40.0,27.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ Bacon - no hash browns (228g),540.0,27.0,34.0,32.0
Chick-fil-A,breakfast,Hash Brown Scramble Burrito w/ No Meat - no hash browns (208g),440.0,21.0,35.0,24.0
Chick-fil-A,breakfast,Hash Brown Scramble Bowl (233g),470.0,29.0,19.0,30.0
Chick-fil-A,breakfast,Hash Brown Scramble Bowl w/ Nuggets (233g),470.0,29.0,19.0,30.0
